标的,变体,收益%,回撤%,Calmar,Sharpe,交易数
中际旭创,V0 买入持有,663.8691534193375,-61.25799858082246,2.4701152757405436,1.6110787012481256,1
中际旭创,V1 MA20/60 买5%卖5%,564.7645552049446,-18.397162535439428,7.391022028061417,2.037882188122526,5
中际旭创,V2 MA20/60 买0%卖5%,588.6970754293117,-26.518770235490585,5.271249829986542,2.044189170838771,6
中际旭创,V3 MA20/60 买0%卖8%,558.1563835760255,-30.996607700391277,4.352339451607176,1.9514216886461644,5
中际旭创,V5 分级(满/半/空),381.8173462480241,-41.47988244896689,2.505854716557881,1.6720732902392355,14
中际旭创,V6 满仓+25%追踪(无条件回补),683.321605695879,-60.961969605955865,2.5293647212694452,1.6296042569552085,7
中际旭创,V7 满仓+25%追踪+MA20回补,380.1413593800545,-64.69122849505395,1.6017739183835293,1.3685637638847483,6
中际旭创,V8 满仓+25%追踪+MA20/60回补,755.3844755493536,-29.144167892583795,5.645706676467235,2.038736481290041,2
中际旭创,V9 满仓+20%追踪+MA20/60回补,723.7297093268129,-23.494824645243963,6.812419915491737,2.070315774064087,3
中际旭创,V10 满仓+25%追踪+回补需高于MA20 5%,686.4003875727901,-29.144026023908822,5.306315464976853,1.974924472420119,2
天孚通信,V0 买入持有,472.22879286592024,-54.85920826123834,2.1960722878297334,1.336900163646536,1
天孚通信,V1 MA20/60 买5%卖5%,159.5085080828264,-48.91447800103133,1.1053328126175477,1.0178074815121434,9
天孚通信,V2 MA20/60 买0%卖5%,206.8659945546872,-48.91429322563747,1.35395394778693,1.142591376691343,11
天孚通信,V3 MA20/60 买0%卖8%,188.23803145280755,-48.16778374746289,1.278361945254254,1.074792394410573,9
天孚通信,V5 分级(满/半/空),135.50075970383335,-47.30930056787772,1.0026586797071624,0.92626783018276,13
天孚通信,V6 满仓+25%追踪(无条件回补),533.6713471649393,-55.79729688259959,2.3460952775710178,1.3939438818851948,9
天孚通信,V7 满仓+25%追踪+MA20回补,237.51783555451428,-62.686360139356665,1.1734240360048056,1.0712962828018882,8
天孚通信,V8 满仓+25%追踪+MA20/60回补,161.97041923056182,-50.41392606176041,1.085563568959906,0.9592933343285944,6
