标的,bars,BH收益%,BH回撤%,BH_Calmar,核心收益%,核心回撤%,核心_Calmar,核心_交易数,核心+抄底收益%,核心+抄底回撤%,核心+抄底_Calmar
中际旭创,556,663.8691534193375,-61.25799858082246,2.4701152757405436,564.7645552049446,-18.397162535439428,7.391022028061417,5,512.6386990967006,-31.01943378765396,4.107103286591421
天孚通信,556,472.22879286592024,-54.85920826123834,2.1960722878297334,159.5085080828264,-48.91447800103133,1.1053328126175477,9,236.413195538525,-46.9412003039274,1.5615280407536807
北方华创,556,178.3364257482328,-32.15614207272209,1.835920537944419,34.89758448346964,-32.98744687248666,0.440498517004789,8,77.30863775500958,-27.458633576588475,1.0793839741798696
寒武纪,556,766.0080947448702,-39.26545425236699,4.228233551749655,147.0540767867842,-29.890658050285367,1.6951929994433654,7,230.44101989135487,-35.38259473750512,2.0320381376164165
沪电股份,556,293.2672864966315,-45.272805849750476,1.8998015554022585,65.67636094713359,-46.72189736685044,0.5503222635207164,7,106.68610581285552,-41.44994574985768,0.9400914563538962
生益科技,556,663.7336430435845,-46.53836872234619,3.250954308780473,432.51076799896293,-24.55241454469205,4.6187861111324,5,293.3505283860683,-44.472727127014934,1.9343808310516486
工业富联,556,185.79194226222313,-45.27698646768159,1.3462234112214142,117.84067240862082,-30.075220016865035,1.4070436551997618,6,251.5995104081984,-29.71338995818663,2.5847924856258184
胜宏科技,556,695.74288594341,-54.10092622985151,2.8837605682114464,134.76125459080964,-39.028286089315024,1.210021534377564,9,70.694203350039,-60.311548865590645,0.4547007576348766
国际复材,556,670.1348726415288,-50.81339663927058,2.996189199417809,822.8246107857896,-28.880359124122023,6.017814320825725,5,966.4667109724343,-32.40569937611978,5.935706609651067
