标的,C0 精简(B1+B2)|收益,C0 精简(B1+B2)|Sharpe,C0 精简(B1+B2)|交易,C1 精简+两融gate|收益,C1 精简+两融gate|Sharpe,C1 精简+两融gate|交易,C2 精简+两融缩放|收益,C2 精简+两融缩放|Sharpe,C2 精简+两融缩放|交易,C3 精简+费半gate|收益,C3 精简+费半gate|Sharpe,C3 精简+费半gate|交易,C4 精简+费半缩放|收益,C4 精简+费半缩放|Sharpe,C4 精简+费半缩放|交易,C5 精简+两融gate+费半缩放|收益,C5 精简+两融gate+费半缩放|Sharpe,C5 精简+两融gate+费半缩放|交易
中际旭创,643.8216152485189,2.483121617432006,26,732.4713239451149,2.6823910167785088,14,688.2741387301895,2.59862823722911,26,763.1182457471061,2.7311539522427615,10,702.8097817301043,2.6241129362104734,26,746.8851275554192,2.707041897630936,14
天孚通信,200.3473811323957,1.3179004968111077,37,203.66161049854728,1.3483592313511514,25,203.0668683339758,1.3411884377328502,37,196.9748552014358,1.3316396144076712,19,200.099743026152,1.3350617704621845,37,198.28416069849072,1.3345048420173777,25
北方华创,30.220704745009197,0.5726135403111068,14,20.15986637878502,0.4383562255137646,10,25.25178385320439,0.5096255031510428,14,22.057036318524336,0.46594862644317464,9,26.241740130171177,0.5235791093054929,14,21.10845134865469,0.45224888712736055,10
寒武纪,58.282903971408786,0.7415951038068558,28,61.06993609780022,0.7633811611535152,18,59.75535416718791,0.753566830234966,28,64.75625225560475,0.7898609127324635,15,61.66415441326545,0.7675016516323305,28,63.685633996967425,0.7823079984171654,18
沪电股份,103.00782938459147,1.0767999951491618,24,65.45258991027725,0.8334295453967127,15,83.90270959852752,0.9638854497817103,24,88.50726809345939,1.0016471291961642,10,96.50188523972534,1.0498476590207673,24,76.78631850974004,0.9192157254612271,15
生益科技,209.7472057302387,1.5315648472123036,32,277.573742564604,1.7926540218589544,17,242.9175885122194,1.6702790830097196,32,264.6569885953516,1.7602768192608307,11,237.32775344784548,1.6571909311866966,32,268.57371632584903,1.7710759928585706,17
工业富联,201.19140671040233,1.729660139109698,22,153.1659318664507,1.5157730617253204,12,177.0225236073562,1.638484506573423,22,142.8201564827284,1.4550042856068266,11,171.32593860864156,1.6086517907473343,22,148.24373126596146,1.487447819785432,12
胜宏科技,92.59978808505586,0.9065650386086052,32,135.0254877761854,1.1051713154614071,18,113.25126419523816,1.0086066976366823,32,132.54957530249723,1.0950758771799114,15,112.13974767863957,1.0036845473522285,32,133.95599575769128,1.1012226374467744,18
国际复材,1362.4567828228378,2.6681119544363283,23,1387.6419908527062,2.72724281745373,11,1379.5661087127464,2.7110788658076492,23,1169.9926202569857,2.6008194250956995,10,1270.2895923799176,2.6555777585806846,23,1273.422281495375,2.6693138771877187,11
