变体,中位收益%,中位回撤%,中位Sharpe,中位Calmar,总交易数,收益改善只数,回撤改善只数,Calmar改善只数,交易数变化
F0 现配置(A|B1|B2|B3|C),137.8825456311818,-35.37541024927422,1.1246648582089398,1.4891842479854425,285,0,0,0,0
F1 砍掉B3(A|B1|B2|C),137.8825456311818,-35.37541024927422,1.1246648582089398,1.4891842479854425,285,0,0,0,0
F2 只留B1+B2,200.3473811323957,-36.87615611800938,1.3179004968111077,2.1504853556152757,238,4,4,5,-47
F3 现配置+两融gate,144.37466228467818,-35.53106102197332,1.1339530413716474,1.5492877058781676,169,5,5,5,-116
F4 B1+B2+两融gate,153.1659318664507,-35.353607302847365,1.3483592313511514,2.1800519489023045,140,5,7,5,-145
