date,允许先手,量比,指数20日%,本配置收益%,原策略收益%,持有收益%,信号数,gate,vs原策略
2025-01,0.0,1.0015596688384991,-6.398306314674251,0.0,-1.6119989907803722,-12.432432432432405,0,关,更好
2025-02,0.8888888888888888,1.0850509403622584,3.682153600536542,0.0,0.5872247775314587,7.407407407407418,0,开,更差
2025-03,0.047619047619047616,0.8032124352512752,-4.226038856830671,0.0,0.0,-2.8735632183908066,0,关,更差
2025-04,0.0,0.8792040278453098,-7.319549469569598,0.0,0.23370936789379737,8.284023668639051,0,关,更差
2025-05,0.3684210526315789,0.9275469086984421,3.1701779867097546,-3.5789470451073058,-3.5789461590624794,-0.8196721311475752,1,关,更差
2025-06,0.65,1.1580540587302721,8.01861139039568,0.2754808690553334,0.27548079832264705,0.2754820936639035,0,开,更好
2025-07,0.43478260869565216,1.043033047366289,7.5886470420796215,34.065783047668255,34.06577432494393,34.06593406593399,0,关,更好
2025-08,1.0,1.1502008444560314,24.433454015646937,59.22111564990773,59.22110433913075,59.22131147540981,0,开,更好
2025-09,0.09090909090909091,0.907860312345994,12.74058899346915,-13.151741829521457,-14.211946390921582,-19.433719433719443,1,关,更好
2025-10,0.058823529411764705,1.075267599106564,-1.4905903240810092,0.0,-3.169179524477439,0.9584664536741228,0,关,更好
2025-11,0.45,1.0045563550821501,-4.233556170242004,0.0,1.8330764181559989,-9.493670886075956,0,关,更差
2025-12,0.13043478260869565,1.0661918051968609,5.479016302103612,3.2671898450937986,3.267193172671412,22.37762237762242,1,关,更差
2026-01,0.6,0.9355618039831731,4.470037825005968,24.85708504107833,24.857109556629165,24.857142857142843,0,开,更差
2026-02,0.0,0.9434218280952714,-0.5510346996842941,61.09828435055012,61.098332612758895,61.09839816933642,0,关,更差
2026-03,0.18181818181818182,0.8579439483945731,-0.7642977901106685,-13.362895860158531,-11.120634214081193,-19.88636363636367,1,关,更差
2026-04,0.6190476190476191,1.0647017557845198,13.229313541428333,32.86224395013644,32.86231480519548,42.46453900709219,1,开,更差
2026-05,0.6666666666666666,0.9603427272274153,12.26784351930319,45.23945639354685,45.23952980929214,45.239576851275665,0,开,更差
2026-06,0.38095238095238093,1.048893357112882,9.915835282867924,99.8712822021228,99.87139379272614,99.87146529562987,0,关,更差
2026-07,0.043478260869565216,0.9581613287442504,-16.81545020390882,-18.878209454627527,-6.880437191390188,-31.42550911039661,1,关,更差
2026-08,0.0,0.9200947808480852,4.12190205577323,16.21883069959178,12.312144063242126,-3.0947170990934914,2,关,更好
2026-09,0.0,0.9056668244110913,-8.39029687593069,0.0,-1.0216333928245835,-1.0000000000000009,0,关,更好
