标的,基准(无gate)|收益,基准(无gate)|交易,基准(无gate)|Sharpe,G-两融>0|收益,G-两融>0|交易,G-两融>0|Sharpe,G-SOX/纳指>0|收益,G-SOX/纳指>0|交易,G-SOX/纳指>0|Sharpe,G-费半>0|收益,G-费半>0|交易,G-费半>0|Sharpe,G-纳指>0|收益,G-纳指>0|交易,G-纳指>0|Sharpe,G-费半>0且两融>0|收益,G-费半>0且两融>0|交易,G-费半>0且两融>0|Sharpe,G-VIX<250日中位|收益,G-VIX<250日中位|交易,G-VIX<250日中位|Sharpe
中际旭创,643.8216152485189,26,2.483121617432006,732.4713239451149,14,2.6823910167785088,758.5494418579417,10,2.725324470029427,763.1182457471061,10,2.7311539522427615,775.7074615168601,12,2.7474492426414474,761.1632886985067,9,2.7284425651747637,634.3027884598531,13,2.507884513024934
天孚通信,200.3473811323957,37,1.3179004968111077,203.66161049854728,25,1.3483592313511514,196.9748552014358,19,1.3316396144076712,196.9748552014358,19,1.3316396144076712,210.44287175494753,21,1.3708318481097181,192.23498180862225,18,1.315983069121851,179.97191567110505,19,1.2645690678773773
北方华创,30.220704745009197,14,0.5726135403111068,20.15986637878502,10,0.4383562255137646,22.057036318524336,9,0.46594862644317464,22.057036318524336,9,0.46594862644317464,20.15986637878502,10,0.4383562255137646,22.057036318524336,9,0.46594862644317464,15.384063278940951,12,0.3676132099075008
寒武纪,58.282903971408786,28,0.7415951038068558,61.06993609780022,18,0.7633811611535152,64.75625225560475,15,0.7898609127324635,64.75625225560475,15,0.7898609127324635,65.31657369379175,16,0.793418564142503,66.21333024855593,13,0.7999810664324314,66.45219477022175,15,0.8005816993939807
沪电股份,103.00782938459147,24,1.0767999951491618,65.45258991027725,15,0.8334295453967127,89.3588434553274,9,1.0074257411235825,88.50726809345939,10,1.0016471291961642,82.60951736319112,11,0.9607813619293711,88.50726809345939,10,1.0016471291961642,94.34154351186801,12,1.0342133676603134
生益科技,209.7472057302387,32,1.5315648472123036,277.573742564604,17,1.7926540218589544,264.6569885953516,11,1.7602768192608307,264.6569885953516,11,1.7602768192608307,254.51224183641776,12,1.7242712456990594,259.0700071688488,10,1.7418023938703244,228.66856120371585,16,1.6204959783240895
工业富联,201.19140671040233,22,1.729660139109698,153.1659318664507,12,1.5157730617253204,142.8201564827284,11,1.4550042856068266,142.8201564827284,11,1.4550042856068266,138.71191994902267,11,1.4294300720172681,143.37781712387923,9,1.4584536977011313,140.8772569014582,14,1.43463897731622
胜宏科技,92.59978808505586,32,0.9065650386086052,135.0254877761854,18,1.1051713154614071,132.54957530249723,15,1.0950758771799114,132.54957530249723,15,1.0950758771799114,117.8430662773747,18,1.0326853022616127,132.83649596114802,13,1.096683639757206,112.69164163324166,20,1.0072991157331102
国际复材,1362.4567828228378,23,2.6681119544363283,1387.6419908527062,11,2.72724281745373,1057.3219152903653,9,2.5177461945486126,1169.9926202569857,10,2.6008194250956995,964.4113428038041,13,2.4302773994252185,1161.8826016802427,7,2.5956434599018894,947.1507431537788,12,2.406619425003515
