市场变量,Spearman,高于中位时先手贡献%,低于中位时先手贡献%,高组为正比例%,低组为正比例%,差异
mkt_vol_ratio,-0.0069120362365623165,-0.023184437573518995,0.36342550488032277,55.55555555555556,47.474747474747474,-0.3866099424538418
mkt_dd120,0.055097930312511506,0.43771762567641587,-0.055576370801436306,56.666666666666664,46.464646464646464,0.49329399647785216
mkt_vol20,0.015826400467493784,0.4826713405353094,-0.09644338430952143,52.22222222222223,50.505050505050505,0.5791147248448308
mkt_ret60,0.06827938460798812,0.6805501913837346,-0.27633324871718074,55.55555555555556,47.474747474747474,0.9568834401009154
mkt_margin_z,0.06232045649674552,0.6805501913837346,-0.27633324871718074,55.55555555555556,47.474747474747474,0.9568834401009154
mkt_ret5,0.06371407678082645,0.7083879841342463,-0.30164033303582755,57.77777777777777,45.45454545454545,1.010028317170074
mkt_dd60,0.07731496692100277,0.7405264738818929,-0.3308571418973247,57.77777777777777,45.45454545454545,1.0713836157792176
style_small_big,0.11038433767358267,0.8479324832423859,-0.4284989685886818,57.77777777777777,45.45454545454545,1.2764314518310678
style_growth_value,0.12981492853094093,0.8509000316168914,-0.43119673983823215,56.666666666666664,46.464646464646464,1.2820967714551235
mkt_margin_chg20,0.08188720565772088,0.8568911067316216,-0.4366431717607142,57.77777777777777,45.45454545454545,1.2935342784923358
mkt_ret20,0.1337394913999045,0.9962090025118264,-0.5632958042881732,57.77777777777777,45.45454545454545,1.5595048067999997
mkt_amt_ratio,0.23335130446378108,1.0785455701760696,-0.638147229437485,62.22222222222222,41.41414141414141,1.7166927996135546
mkt_above_ma20,0.1596465093112689,,0.17932553228325523,,51.32275132275132,
mkt_ma20_gt_ma60,0.05144073757288771,,0.17932553228325523,,51.32275132275132,
