收益%,回撤%,Sharpe,Calmar,交易数,在场%,标的,变体,ATR%中位
663.8691534193375,-61.25799858082246,1.6110787012481256,2.4701152757405436,1,99.82014388489209,中际旭创,买入持有,5.410272520948057
564.7645552049446,-18.397162535439428,2.037882188122526,7.391022028061417,5,41.007194244604314,中际旭创,FIX 买带5/卖带5,5.410272520948057
564.7645552049446,-18.397162535439428,2.037882188122526,7.391022028061417,5,41.007194244604314,中际旭创,FIX 买带5/卖带5+追踪18%,5.410272520948057
440.7076065028785,-24.8044650819379,1.8359093185059145,4.631624087250234,7,40.10791366906475,中际旭创,ATR k=0.6 无追踪,5.410272520948057
436.66411510090927,-22.451959666775277,1.8898873607534108,5.084417525159902,10,38.84892086330935,中际旭创,ATR k=0.6 追踪2.0xATR,5.410272520948057
614.0614697818963,-22.4517099324258,2.142890218702458,6.402637566107198,7,39.92805755395683,中际旭创,ATR k=1.0 追踪2.0xATR,5.410272520948057
328.0402691777773,-26.15834337237728,1.6638862574545776,3.5664096031872283,18,36.330935251798564,中际旭创,ATR k=0.4 追踪1.5xATR,5.410272520948057
683.321605695879,-60.961969605955865,1.6296042569552085,2.5293647212694452,7,98.7410071942446,中际旭创,满仓+25%追踪(无趋势过滤),5.410272520948057
802.2948246975712,-58.94634541984205,1.7394797188651556,2.901264746438894,18,96.76258992805755,中际旭创,满仓+2.5xATR追踪,5.410272520948057
472.22879286592024,-54.85920826123834,1.336900163646536,2.1960722878297334,1,99.82014388489209,天孚通信,买入持有,6.412949551898693
159.5085080828264,-48.91447800103133,1.0178074815121434,1.1053328126175477,9,36.69064748201439,天孚通信,FIX 买带5/卖带5,6.412949551898693
151.29182737253194,-50.53247573715631,0.993974247950721,1.0258030470809056,10,36.510791366906474,天孚通信,FIX 买带5/卖带5+追踪18%,6.412949551898693
159.5085080828264,-48.91447800103133,1.0178074815121434,1.1053328126175477,9,36.69064748201439,天孚通信,ATR k=0.6 无追踪,6.412949551898693
132.38970337967456,-50.53247573715631,0.9363997589215192,0.9211722012462114,13,35.97122302158273,天孚通信,ATR k=0.6 追踪2.0xATR,6.412949551898693
85.7113622372444,-58.8754049630708,0.7485746050984644,0.5501058598694684,12,34.71223021582734,天孚通信,ATR k=1.0 追踪2.0xATR,6.412949551898693
89.53739837330153,-51.06412074970197,0.775608517670002,0.6583292105223673,20,33.992805755395686,天孚通信,ATR k=0.4 追踪1.5xATR,6.412949551898693
533.6713471649393,-55.79729688259959,1.3939438818851948,2.3460952775710178,9,98.38129496402878,天孚通信,满仓+25%追踪(无趋势过滤),6.412949551898693
387.5625832370849,-56.27645744558507,1.2557208849147115,1.8665209140701873,20,96.40287769784173,天孚通信,满仓+2.5xATR追踪,6.412949551898693
178.3364257482328,-32.15614207272209,1.2209096218172215,1.835920537944419,1,99.82014388489209,北方华创,买入持有,3.699219604045731
34.89758448346964,-32.98744687248666,0.5231195285182711,0.440498517004789,8,46.94244604316547,北方华创,FIX 买带5/卖带5,3.699219604045731
40.42344534200482,-32.98744687248666,0.5819408169753859,0.5042522871068169,8,46.58273381294964,北方华创,FIX 买带5/卖带5+追踪18%,3.699219604045731
35.66805147045366,-26.5118404091531,0.5411370490103746,0.559257360029835,12,39.38848920863309,北方华创,ATR k=0.6 无追踪,3.699219604045731
27.13355624794127,-29.568467395809805,0.44814822017533534,0.3887520424763608,17,36.15107913669065,北方华创,ATR k=0.6 追踪2.0xATR,3.699219604045731
44.41657682115137,-30.022786320853246,0.6608954390436815,0.6037316354695753,13,33.45323741007194,北方华创,ATR k=1.0 追踪2.0xATR,3.699219604045731
47.88659378420699,-21.820706613850593,0.6831057057831637,0.8892372207727627,19,35.97122302158273,北方华创,ATR k=0.4 追踪1.5xATR,3.699219604045731
179.48241176780084,-31.87681063958604,1.2294071137192752,1.8613080952225136,2,99.64028776978418,北方华创,满仓+25%追踪(无趋势过滤),3.699219604045731
