标的,现收益%,新收益%,现回撤%,新回撤%,现Sharpe,新Sharpe,现Calmar,新Calmar,现交易,新交易
中际旭创,652.651023645763,654.7645392241799,-26.544499007871714,-22.111837911966614,2.4942010049295544,2.580085948154936,9.180494005707514,11.047548777452626,27,7
天孚通信,137.8825456311818,147.80738724103122,-46.94080731902418,-49.04464839405796,1.0952868448039526,1.1563434707403015,1.4891842479854425,1.5130054796328973,42,14
北方华创,40.85512946220049,22.057036318524336,-23.468416638753244,-28.69080457820393,0.7026712350607238,0.46594862644317464,0.9932325699895804,0.45190765604286476,20,9
寒武纪,73.53653562134177,58.20204661429764,-35.37541024927422,-37.80083037874839,0.842958576775348,0.7438047328292826,1.1334229784275056,0.8568029852416762,34,12
沪电股份,112.12782700870517,74.72502410841886,-41.45001402130296,-44.52071885571266,1.1246648582089398,0.903787800950032,1.409000116910141,0.9137628756915555,30,9
生益科技,205.02623696545044,269.9331086621032,-44.472466410161495,-37.18043178831728,1.5037839302050997,1.7765033512323587,2.199305952871218,3.2969878233760914,37,10
工业富联,211.32470117805,145.90678793264664,-29.713465797210368,-25.30736971112094,1.7647802544227846,1.4748272029300398,3.3754711012056418,2.8998026920960154,26,7
胜宏科技,79.89017912825072,134.4529621037574,-60.31198768597048,-49.67107239643702,0.838871259635914,1.1049700760712216,0.7164527373320361,1.3770799454731386,40,11
国际复材,1176.5144366578343,1072.9216414586801,-32.405719627262044,-28.88038267511377,2.537794251041867,2.531724795072218,11.5655378115621,12.147911287677488,29,4
