变体,中位收益%,中位回撤%,中位Sharpe,中位Calmar,捕获率(收益/BH)中位,回撤改善,收益改善,Calmar改善,Sharpe改善
买入持有,312.74335140905976,-45.907677595013894,1.307053024151058,1.9109205517491197,1.0,0/20,0/20,0/20,0/20
FIX 买带5/卖带5,123.43146345442841,-30.099151522587388,0.9633163857197573,1.3085325947886628,0.3645091375485169,18/20,2/20,7/20,5/20
FIX 买带5/卖带5+追踪18%,123.43146345442841,-30.81450743697485,0.9544880826404131,1.2180769629285062,0.33019220791785325,17/20,2/20,7/20,5/20
ATR k=0.6 无追踪,119.89522676525934,-34.98701146525238,0.9130320397033385,1.1243810886252723,0.35546013552587385,19/20,1/20,6/20,5/20
ATR k=0.6 追踪2.0xATR,108.35113673845609,-36.26927414850137,0.900003280338955,1.0552673209447405,0.2997537289035272,19/20,1/20,5/20,3/20
ATR k=1.0 追踪2.0xATR,83.3767320151816,-34.19790037784648,0.8447432790258926,1.002473852151799,0.30396720773662556,17/20,1/20,4/20,3/20
ATR k=0.4 追踪1.5xATR,69.42533190884197,-38.05137100588637,0.7388640904503481,0.8324031189192702,0.23766379694345752,18/20,1/20,2/20,2/20
满仓+25%追踪(无趋势过滤),300.835078221126,-49.50808922431595,1.2950495360914358,2.0027454187607505,1.026422446857423,10/20,13/20,11/20,13/20
满仓+2.5xATR追踪,292.74525320784096,-45.931729953183805,1.2539956934107128,1.8729932894020935,0.8347076528809592,11/20,6/20,7/20,7/20
