标的,全集合 A|B1|B2|B3|C|收益,全集合 A|B1|B2|B3|C|Sharpe,全集合 A|B1|B2|B3|C|回撤,全集合 A|B1|B2|B3|C|交易,无B3 A|B1|B2|C|收益,无B3 A|B1|B2|C|Sharpe,无B3 A|B1|B2|C|回撤,无B3 A|B1|B2|C|交易,精简 B1|B2|收益,精简 B1|B2|Sharpe,精简 B1|B2|回撤,精简 B1|B2|交易,精简+两融gate|收益,精简+两融gate|Sharpe,精简+两融gate|回撤,精简+两融gate|交易,精简+两融缩放|收益,精简+两融缩放|Sharpe,精简+两融缩放|回撤,精简+两融缩放|交易,精简+费半gate|收益,精简+费半gate|Sharpe,精简+费半gate|回撤,精简+费半gate|交易,精简+费半缩放|收益,精简+费半缩放|Sharpe,精简+费半缩放|回撤,精简+费半缩放|交易,全集合+两融gate|收益,全集合+两融gate|Sharpe,全集合+两融gate|回撤,全集合+两融gate|交易
中际旭创,652.651023645763,2.494201004929554,-26.544499007871714,27,652.651023645763,2.494201004929554,-26.544499007871714,27,578.0726796935247,2.386881567633319,-26.545548698557063,26,675.4798558129672,2.6160563888624924,-20.888966837243096,13,618.5822709294487,2.500673297466587,-23.97439549197429,26,739.3363992784224,2.7151992437064187,-18.397568868502955,12,631.8734442884887,2.5261210970130996,-23.314168651214896,26,739.3279678860188,2.7012452016562913,-20.88914765789893,13
天孚通信,137.88254563118173,1.0952868448039508,-46.94080731902419,42,137.88254563118173,1.0952868448039508,-46.94080731902419,42,162.47945473618367,1.2034879393854974,-43.582094951528696,35,165.38351898431452,1.2320117509140573,-43.58239142194276,23,164.8646880357306,1.2253444271308005,-43.582194051748544,35,154.16832397775502,1.195885429278356,-44.47486221167926,16,162.26671222710385,1.218652955853445,-44.028575957111016,35,130.9357060271536,1.084784417006255,-46.940809791964256,30
北方华创,40.8551294622004,0.7026712350607218,-23.468416638753254,20,40.8551294622004,0.7026712350607218,-23.468416638753254,20,26.230101838637452,0.5263861156904818,-23.056744332939484,12,16.476993043733025,0.3856966586239649,-28.134562786271655,8,21.413332357528336,0.4602370808888742,-25.08906889070771,12,18.316538662872816,0.4143898225669187,-25.99965112763103,7,22.37226015417231,0.47471263583760837,-23.96568028810905,12,29.252981210975413,0.5674083536072951,-28.140445298871107,14
寒武纪,73.5365356213418,0.8429585767753489,-35.375410249274196,34,73.5365356213418,0.8429585767753489,-35.375410249274196,34,75.29568590460329,0.8675601161029415,-30.831696102585195,25,75.2095939187737,0.8708461593128252,-27.64110128616697,15,77.23322203156768,0.8831481905422219,-28.802363087298332,25,76.08264172536462,0.8768824361830976,-27.377986408383826,11,74.2948187370288,0.8639004014593239,-28.734688027580358,25,61.04677336837207,0.7626758297723865,-35.382594216703986,19
沪电股份,112.12782700870517,1.1246648582089402,-41.45001402130296,30,112.12782700870517,1.1246648582089402,-41.45001402130296,30,99.8450137034563,1.0621470047504828,-46.82696667240091,23,62.872043878692295,0.8165472557490477,-46.82698636459703,14,81.03547495320585,0.9481686622208673,-46.82671436297512,23,89.2623953111598,1.0113140238036264,-46.82740038007198,10,93.43951795153029,1.0348265048476135,-46.827072848961926,23,63.85590635242917,0.8196018947797765,-43.7614187971307,17
生益科技,205.02623696545058,1.503783930205101,-44.472466410161495,37,205.02623696545058,1.503783930205101,-44.472466410161495,37,179.54945892244,1.4196167327923388,-41.38642612292307,31,240.76874024722747,1.6800888003076606,-32.83339329001945,16,209.48830071841428,1.5574844630200362,-37.1790496838422,31,359.0129699331715,2.0863066532225116,-25.22955128518519,10,220.9367576579549,1.609719511143931,-38.37054070332642,31,276.9532289141948,1.7802433356278367,-35.66888882263961,20
工业富联,211.32470117805005,1.7647802544227849,-29.713465797210336,26,211.32470117805005,1.7647802544227849,-29.713465797210336,26,185.0841302165008,1.673698773748464,-31.31998977200876,22,140.41655385265753,1.4575469491422481,-29.8764021150689,13,162.20697566827278,1.580276295745495,-30.714183871964185,22,134.1497991419846,1.4206498738279199,-31.425746316015456,12,156.81410337717088,1.5498859709246329,-31.369818025974727,22,165.95737310851422,1.5752952924438246,-27.303954636354767,15
胜宏科技,79.89017912825067,0.8388712596359145,-60.3119876859705,40,79.89017912825067,0.8388712596359145,-60.3119876859705,40,130.7194009493789,1.0808032961026053,-47.06293276424249,32,181.54201708006497,1.2825054224536536,-41.23779361910292,18,155.45417286302853,1.1849989558737766,-43.60766393993557,32,180.9138850522367,1.2805640074984308,-42.125918256687086,15,151.8808613466857,1.171530431767058,-44.38361367370708,32,107.97455193891734,0.9839796385508214,-56.59237104124012,21
国际复材,1176.5144366578343,2.537794251041867,-32.40571962726205,29,1176.5144366578343,2.537794251041867,-32.40571962726205,29,1122.2030560400701,2.518383892390712,-35.25219710964231,23,1162.9879560483614,2.588273000728733,-31.534276025358455,12,1136.5023645606263,2.5593388779513586,-33.393214862158146,23,1136.5648658926696,2.5761108040163707,-28.880382512242196,10,1150.809222719676,2.574500703096922,-31.466171113359575,23,1219.113249054457,2.6067959208048888,-32.40571531250529,18
