date,index,open,high,low,close,volume
2024-01-02,7978,9527.105,9527.105,9401.348,9401.348,38596954271
2024-01-03,7979,9378.687,9405.09,9280.816,9330.864,36681390123
2024-01-04,7980,9317.399,9317.399,9171.129,9215.245,33057226462
2024-01-05,7981,9205.394,9275.229,9074.929,9116.442,36584000431
2024-01-08,7982,9095.705,9119.122,8947.724,8947.724,33819316256
2024-01-09,7983,8960.973,9042.447,8912.029,8971.719,34925480540
2024-01-10,7984,8938.449,9035.188,8857.968,8922.794,34094162952
2024-01-11,7985,8918.23,9099.224,8898.195,9053.883,37985442252
2024-01-12,7986,9026.737,9095.607,8995.414,8996.256,37224375935
2024-01-15,7987,8957.716,9045.547,8912.445,8963.926,32173681823
2024-01-16,7988,8946.935,9002.343,8871.188,8992.072,36727810980
2024-01-17,7989,8968.526,8968.526,8759.758,8759.758,33560351031
2024-01-18,7990,8706.142,8858.396,8585.2,8847.003,44359667870
2024-01-19,7991,8821.765,8890.119,8771.581,8787.024,33407864814
2024-01-22,7992,8769.393,8769.393,8430.614,8479.55,41997942010
2024-01-23,7993,8465.003,8638.896,8402.063,8596.281,37823542938
2024-01-24,7994,8633.168,8693.082,8404.068,8682.187,40808601165
2024-01-25,7995,8661.446,8858.208,8621.184,8856.224,43498171413
2024-01-26,7996,8809.764,8859.628,8746.096,8762.329,41194846598
2024-01-29,7997,8775.384,8800.644,8581.759,8581.759,39432566176
2024-01-30,7998,8523.737,8579.595,8370.06,8375.981,33872631922
2024-01-31,7999,8340.718,8408.666,8208.447,8212.845,43125459652
2024-02-01,8000,8172.811,8371.38,8134.813,8240.482,39724642481
2024-02-02,8001,8239.502,8300.75,7840.621,8055.775,46859511630
2024-02-05,8002,7987.336,8171.765,7683.626,7964.712,53704465055
2024-02-06,8003,7886.32,8471.278,7880.405,8460.379,59207592588
2024-02-07,8004,8464.874,8724.174,8445.706,8708.24,61678023989
2024-02-08,8005,8750.536,8975.053,8742.949,8820.603,62641426750
2024-02-19,8006,8957.275,8957.275,8797.459,8902.334,55736510069
2024-02-20,8007,8857.504,8919.808,8798.435,8905.962,44177586265
2024-02-21,8008,8829.704,9130.034,8798.366,8975.974,54363489574
2024-02-22,8009,8971.439,9050.273,8946.244,9043.748,45808948952
2024-02-23,8010,9074.614,9077.563,8971.341,9069.415,52027504073
2024-02-26,8011,9070.222,9154.598,9023.325,9066.087,55870130417
2024-02-27,8012,9032.259,9269.568,9016.607,9269.568,53339610227
2024-02-28,8013,9293.146,9391.524,9047.095,9047.095,76686411168
2024-02-29,8014,9001.283,9334.943,9001.283,9330.443,56545599185
2024-03-01,8015,9345.738,9452.634,9298.16,9434.747,53967112517
2024-03-04,8016,9456.373,9486.703,9359.84,9438.244,53009940816
2024-03-05,8017,9371.943,9448.734,9344.449,9416.805,51103531884
2024-03-06,8018,9366.71,9487.188,9309.845,9395.654,46636105582
2024-03-07,8019,9398.051,9454.535,9267.117,9267.117,51117810092
2024-03-08,8020,9281.608,9386.746,9230.064,9369.046,43568736085
2024-03-11,8021,9369.646,9581.656,9363.41,9581.534,49221442847
2024-03-12,8022,9603.455,9649.743,9535.208,9630.545,56573750712
2024-03-13,8023,9640.091,9674.14,9568.883,9604.993,52763140357
2024-03-14,8024,9598.418,9675.471,9489.019,9555.416,50905804216
2024-03-15,8025,9532.423,9616.495,9455.508,9612.75,47650683480
2024-03-18,8026,9665.07,9752.834,9646.213,9752.834,56235512999
2024-03-19,8027,9723.403,9785.098,9696.688,9696.688,53455197769
2024-03-20,8028,9669.703,9725.306,9654.527,9717.373,51138902170
2024-03-21,8029,9736.231,9758.335,9663.485,9682.51,55890739799
2024-03-22,8030,9659.875,9680.214,9505.993,9565.563,56528197199
2024-03-25,8031,9538.354,9601.837,9421.078,9422.612,52755832043
2024-03-26,8032,9413.256,9490.754,9366.002,9449.43,48246175546
2024-03-27,8033,9437.558,9437.671,9222.466,9222.466,46713889077
2024-03-28,8034,9221.531,9440.308,9221.531,9342.919,47935618344
2024-03-29,8035,9335.113,9400.853,9304.761,9400.853,44973506065
2024-04-01,8036,9451.726,9647.072,9451.726,9647.072,51652537371
2024-04-02,8037,9633.969,9633.969,9546.474,9586.952,53021053320
2024-04-03,8038,9564.646,9575.556,9508.646,9544.766,49330954395
2024-04-08,8039,9512.602,9525.954,9393.613,9394.606,47996796704
2024-04-09,8040,9386.8,9449.654,9352.352,9448.98,41261307620
2024-04-10,8041,9425.802,9425.802,9243.797,9297.96,44329488741
2024-04-11,8042,9234.917,9378.435,9233.27,9300.771,41833678630
2024-04-12,8043,9301.076,9343.182,9212.596,9228.234,41561290234
2024-04-15,8044,9228.135,9407.068,9189.959,9369.701,54491736930
2024-04-16,8045,9312.493,9341.97,9148.821,9155.069,53485412464
2024-04-17,8046,9180.512,9381.772,9180.512,9381.772,50860042820
2024-04-18,8047,9336.734,9477.133,9299.333,9376.806,48375148137
2024-04-19,8048,9316.976,9351.956,9220.638,9279.46,43977363059
2024-04-22,8049,9228.18,9327.591,9212.285,9239.14,41696598035
2024-04-23,8050,9231.904,9269.715,9147.947,9183.141,39645906978
2024-04-24,8051,9186.194,9254.646,9135.575,9251.134,41982115134
2024-04-25,8052,9204.795,9329.405,9198.317,9264.48,42147288820
2024-04-26,8053,9258.491,9471.293,9258.491,9463.907,54214171105
2024-04-29,8054,9479.599,9718.358,9479.599,9673.758,58303815801
2024-04-30,8055,9647.056,9662.558,9587.076,9587.124,52697389055
2024-05-06,8056,9735.885,9804.199,9732.689,9779.211,52711364122
2024-05-07,8057,9778.156,9804.761,9743.193,9770.938,49770195676
2024-05-08,8058,9743.868,9743.868,9633.695,9638.817,46349654809
2024-05-09,8059,9648.218,9805.115,9648.218,9788.068,45384490979
2024-05-10,8060,9788.83,9805.921,9670.895,9731.237,47281377936
2024-05-13,8061,9659.636,9720.476,9605.185,9673.319,44947077231
2024-05-14,8062,9689.553,9736.285,9633.802,9668.727,42964808531
2024-05-15,8063,9648.426,9659.035,9577.205,9583.541,41936225898
2024-05-16,8064,9614.729,9668.848,9582.22,9604.131,46003333499
2024-05-17,8065,9590.387,9709.423,9563.47,9709.422,48531203805
2024-05-20,8066,9710.196,9779.36,9701.85,9750.822,52611108552
2024-05-21,8067,9721.723,9730.279,9649.149,9681.66,44511548579
2024-05-22,8068,9674.497,9709.005,9643.868,9693.055,43949777397
2024-05-23,8069,9667.181,9672.178,9520.206,9541.643,46939843705
2024-05-24,8070,9508.853,9578.734,9421.552,9424.577,41477801455
2024-05-27,8071,9444.228,9511.144,9375.524,9507.745,41278560277
2024-05-28,8072,9489.082,9494.769,9385.438,9391.052,40812739552
2024-05-29,8073,9387.649,9460.626,9379.296,9414.979,40207974234
2024-05-30,8074,9395.788,9441.488,9366.13,9384.724,39633005528
2024-05-31,8075,9388.269,9455.335,9364.375,9364.375,39705545944
2024-06-03,8076,9358.591,9422.073,9307.921,9370.497,44781001343
2024-06-04,8077,9350.834,9486.745,9327.829,9469.315,41604094966
2024-06-05,8078,9450.071,9509.78,9393.611,9393.611,39250075195
2024-06-06,8079,9417.931,9446.882,9313.878,9340.01,49622024239
2024-06-07,8080,9343.798,9366.337,9181.888,9255.684,39147903228
2024-06-11,8081,9198.538,9282.71,9166.468,9262.347,35331045710
2024-06-12,8082,9244.313,9299.357,9243.732,9269.936,35764513550
2024-06-13,8083,9281.048,9296.365,9190.882,9206.236,37637815825
2024-06-14,8084,9177.405,9265.965,9138.319,9252.251,39125311901
2024-06-17,8085,9209.462,9298.007,9202.168,9281.254,35673941474
2024-06-18,8086,9278.275,9329.994,9276.444,9318.469,38529707571
2024-06-19,8087,9324.881,9325.854,9218.907,9219.069,36222183085
2024-06-20,8088,9201.347,9225.021,9066.055,9068.851,38558222157
2024-06-21,8089,9041.441,9100.83,9008.339,9064.845,32408565431
2024-06-24,8090,9004.847,9030.708,8916.465,8924.172,37504983297
2024-06-25,8091,8911.9,8948.225,8797.046,8850.289,34627226549
2024-06-26,8092,8838.0,9001.028,8811.358,8987.302,37021958808
2024-06-27,8093,8944.729,8947.958,8844.872,8849.697,34906759884
2024-06-28,8094,8814.934,8960.956,8814.934,8848.699,36991165729
2024-07-01,8095,8835.155,8914.197,8771.012,8899.166,34758199905
2024-07-02,8096,8886.091,8895.552,8789.281,8812.673,36967793381
2024-07-03,8097,8808.366,8827.086,8734.715,8760.434,34311117321
2024-07-04,8098,8775.843,8820.997,8670.342,8673.826,35189402223
2024-07-05,8099,8664.805,8719.708,8573.755,8695.548,31659874591
2024-07-08,8100,8675.972,8675.972,8539.416,8561.95,33066109265
2024-07-09,8101,8548.159,8733.871,8513.169,8705.943,39709760815
2024-07-10,8102,8672.326,8762.766,8664.918,8697.216,35547625986
2024-07-11,8103,8800.388,8890.756,8746.903,8870.356,42446059547
2024-07-12,8104,8831.679,8885.36,8814.088,8854.083,36708770579
2024-07-15,8105,8825.474,8834.034,8780.749,8801.624,33174716557
2024-07-16,8106,8783.352,8881.774,8780.09,8877.018,32418099011
2024-07-17,8107,8860.753,8884.792,8809.133,8835.144,33806544344
2024-07-18,8108,8760.662,8880.437,8730.979,8879.326,34137726594
2024-07-19,8109,8826.64,8932.079,8820.086,8903.232,31671569890
2024-07-22,8110,8908.206,8925.436,8823.778,8869.817,31757526698
2024-07-23,8111,8862.944,8862.944,8606.583,8606.583,35216664290
2024-07-24,8112,8582.63,8640.331,8469.877,8493.096,34382104790
2024-07-25,8113,8443.438,8524.814,8428.752,8474.704,30977628555
2024-07-26,8114,8512.79,8617.646,8512.79,8597.174,32913678275
2024-07-29,8115,8589.275,8589.275,8510.489,8514.647,32484641767
2024-07-30,8116,8482.172,8488.519,8416.601,8468.582,34219157453
2024-07-31,8117,8446.496,8754.928,8444.147,8754.087,49010042180
2024-08-01,8118,8767.325,8799.09,8656.946,8673.577,42850008325
2024-08-02,8119,8599.057,8697.491,8542.394,8553.551,41921627149
2024-08-05,8120,8475.452,8646.855,8395.04,8395.054,45762539227
2024-08-06,8121,8481.73,8525.716,8388.261,8463.863,40061456130
2024-08-07,8122,8450.487,8505.134,8416.248,8449.582,35547603012
2024-08-08,8123,8415.083,8514.666,8361.582,8446.208,38968860037
2024-08-09,8124,8486.421,8527.644,8393.699,8393.699,37102703941
2024-08-12,8125,8386.833,8419.702,8354.425,8373.471,33833603190
2024-08-13,8126,8372.707,8409.24,8327.35,8409.224,30920159022
2024-08-14,8127,8403.482,8403.482,8310.998,8310.998,31136059327
2024-08-15,8128,8292.195,8439.686,8288.71,8370.123,40234645666
2024-08-16,8129,8377.948,8408.386,8339.576,8349.87,39738232456
2024-08-19,8130,8341.826,8437.884,8341.101,8356.897,37396241311
2024-08-20,8131,8363.868,8367.383,8233.07,8252.868,38435236588
2024-08-21,8132,8221.35,8297.098,8213.093,8229.75,34400568021
2024-08-22,8133,8234.28,8247.947,8151.634,8162.175,36175883626
2024-08-23,8134,8134.4,8207.59,8133.57,8181.917,34381374453
2024-08-26,8135,8194.937,8225.994,8163.878,8194.646,34267835306
2024-08-27,8136,8161.681,8168.042,8084.037,8103.759,33685015173
2024-08-28,8137,8071.864,8098.313,8036.401,8078.819,32885869824
2024-08-29,8138,8030.741,8191.37,8028.367,8154.439,37682840126
2024-08-30,8139,8152.813,8453.659,8152.813,8348.478,52102637354
2024-09-02,8140,8331.456,8340.383,8172.208,8172.208,43309610281
2024-09-03,8141,8157.44,8294.768,8157.44,8268.05,37028373327
2024-09-04,8142,8207.28,8297.82,8189.526,8226.241,36236838805
2024-09-05,8143,8224.509,8297.938,8220.553,8249.659,34757508755
2024-09-06,8144,8252.006,8260.69,8128.767,8130.77,36378777179
2024-09-09,8145,8086.282,8129.54,8023.375,8063.27,33111943224
2024-09-10,8146,8064.398,8113.689,7973.787,8073.833,34749537762
2024-09-11,8147,8052.248,8139.702,8031.947,8105.385,31001736656
2024-09-12,8148,8122.772,8176.052,8053.881,8054.243,33651741283
2024-09-13,8149,8054.427,8084.353,7983.548,7983.548,34822022538
2024-09-18,8150,7975.189,8017.384,7908.523,7992.253,33354474083
2024-09-19,8151,8015.394,8161.222,7950.703,8087.604,41370148725
2024-09-20,8152,8079.761,8092.496,8014.505,8075.142,38337072743
2024-09-23,8153,8071.993,8163.104,8054.592,8083.382,36565600998
2024-09-24,8154,8148.174,8435.706,8083.305,8435.704,58681255519
2024-09-25,8155,8555.724,8738.412,8525.751,8537.731,71584781842
2024-09-26,8156,8524.192,8916.802,8505.642,8916.646,70484299530
2024-09-27,8157,9100.767,9619.769,9100.767,9514.864,94883654000
2024-09-30,8158,9950.653,10556.934,9829.432,10529.757,132400053035
2024-10-08,8159,11864.109,11864.109,10834.499,11495.101,158791179957
2024-10-09,8160,11158.988,11295.099,10516.668,10557.812,127422156998
2024-10-10,8161,10609.473,10823.368,10310.39,10471.081,96357328462
2024-10-11,8162,10366.571,10378.46,9935.818,10060.739,76794500742
2024-10-14,8163,10118.375,10361.692,9966.988,10327.4,76786473279
2024-10-15,8164,10286.236,10424.137,10066.517,10066.517,80099233726
2024-10-16,8165,9898.127,10112.788,9890.897,9965.024,70123816425
2024-10-17,8166,10034.414,10123.225,9887.94,9891.763,75958300071
2024-10-18,8167,9868.846,10607.808,9865.874,10357.677,95374309335
2024-10-21,8168,10441.87,10636.16,10331.789,10470.914,96500262583
2024-10-22,8169,10459.156,10604.783,10409.681,10559.51,92798535681
2024-10-23,8170,10536.897,10721.367,10479.224,10576.413,92060793932
2024-10-24,8171,10508.651,10533.842,10404.831,10441.746,74927242151
2024-10-25,8172,10470.067,10733.068,10460.931,10619.849,86542105534
2024-10-28,8173,10617.904,10685.891,10519.484,10685.891,95867413324
2024-10-29,8174,10706.018,10729.568,10536.807,10543.328,103306751329
2024-10-30,8175,10488.227,10596.223,10426.744,10530.849,93173321416
2024-10-31,8176,10535.414,10693.843,10458.848,10591.218,110309471953
2024-11-01,8177,10563.835,10629.812,10417.977,10455.502,118472029006
2024-11-04,8178,10457.895,10663.097,10457.895,10663.097,82654902413
2024-11-05,8179,10653.199,11030.623,10609.814,11006.938,107740888900
2024-11-06,8180,11023.999,11177.688,10896.323,10968.142,121476775704
2024-11-07,8181,10852.121,11235.921,10839.941,11235.921,122251344774
2024-11-08,8182,11374.2,11410.979,11135.328,11161.702,125343281592
2024-11-11,8183,11087.411,11390.479,11071.654,11388.566,112188089396
2024-11-12,8184,11430.221,11560.354,11210.955,11314.459,113897492979
2024-11-13,8185,11231.728,11380.496,11143.337,11359.289,91186378710
2024-11-14,8186,11333.403,11335.362,11023.739,11037.782,83896742213
2024-11-15,8187,10983.536,11065.417,10748.97,10748.97,84298445532
2024-11-18,8188,10774.44,10816.512,10478.265,10544.022,87180347111
2024-11-19,8189,10559.325,10748.602,10427.94,10743.844,77072145189
2024-11-20,8190,10709.923,10875.451,10692.559,10827.188,81635677889
2024-11-21,8191,10787.929,10867.406,10739.281,10819.877,81837576465
2024-11-22,8192,10785.519,10836.694,10438.722,10438.722,92594828048
2024-11-25,8193,10462.44,10505.239,10282.497,10420.521,77022626653
2024-11-26,8194,10387.005,10480.957,10330.454,10333.226,71183213494
2024-11-27,8195,10284.721,10566.101,10202.226,10566.101,79557129618
2024-11-28,8196,10560.41,10581.594,10416.331,10432.54,85088787686
2024-11-29,8197,10406.079,10727.083,10406.079,10611.719,89215787876
2024-12-02,8198,10595.473,10777.693,10583.721,10756.548,93752318422
2024-12-03,8199,10757.493,10761.441,10625.476,10713.578,93970902205
2024-12-04,8200,10700.058,10717.56,10556.602,10604.012,93081650252
2024-12-05,8201,10565.027,10674.771,10565.027,10634.489,84466366148
2024-12-06,8202,10642.893,10860.246,10618.761,10791.339,102934032914
2024-12-09,8203,10780.984,10821.506,10668.331,10731.659,95515594718
2024-12-10,8204,11124.782,11134.553,10792.015,10812.584,117138802611
2024-12-11,8205,10781.097,10884.06,10781.084,10848.423,101227283475
2024-12-12,8206,10846.545,10967.278,10813.792,10957.129,104058705015
2024-12-13,8207,10876.19,10876.19,10709.14,10713.072,107554718202
2024-12-16,8208,10705.517,10721.71,10535.526,10573.919,92267696201
2024-12-17,8209,10557.231,10677.743,10526.256,10537.429,85814053161
2024-12-18,8210,10561.936,10639.77,10535.761,10584.27,74084662199
2024-12-19,8211,10483.504,10673.962,10460.196,10649.034,76069334340
2024-12-20,8212,10631.444,10731.076,10618.794,10646.617,73237537835
2024-12-23,8213,10650.575,10708.823,10527.146,10537.402,79568783045
2024-12-24,8214,10548.146,10673.337,10548.146,10671.428,66497704116
2024-12-25,8215,10675.729,10677.647,10544.88,10603.1,66796306236
2024-12-26,8216,10586.957,10692.887,10570.086,10673.969,59399742654
2024-12-27,8217,10679.344,10780.532,10632.525,10659.976,67993458784
2024-12-30,8218,10644.153,10726.66,10632.744,10671.155,60905276931
2024-12-31,8219,10668.168,10678.771,10414.611,10414.611,64665300880
2025-01-02,8220,10400.664,10409.613,10006.556,10088.059,68111670937
2025-01-03,8221,10097.932,10139.989,9891.84,9897.12,68523525692
2025-01-06,8222,9890.984,9975.992,9817.751,9885.654,58623548268
2025-01-07,8223,9860.578,10000.341,9822.001,9998.757,58891906830
2025-01-08,8224,9940.197,10016.219,9731.438,9944.641,68356138045
2025-01-09,8225,9906.909,10021.939,9901.635,9976.004,60520292074
2025-01-10,8226,9957.834,10004.061,9795.943,9795.943,61636098545
2025-01-13,8227,9697.448,9866.361,9693.8,9796.177,50480043564
2025-01-14,8228,9822.349,10178.671,9788.761,10165.169,69071645495
2025-01-15,8229,10139.78,10147.264,10038.298,10060.13,62657312976
2025-01-16,8230,10110.415,10249.621,10011.167,10101.095,67961881355
2025-01-17,8231,10059.989,10227.711,10059.157,10161.321,57621440908
2025-01-20,8232,10240.715,10333.158,10225.344,10256.396,58773577977
2025-01-21,8233,10323.12,10325.688,10205.986,10305.693,59739678942
2025-01-22,8234,10263.042,10272.591,10161.998,10225.871,53343230020
2025-01-23,8235,10323.446,10411.473,10176.174,10176.174,64807888595
2025-01-24,8236,10141.406,10315.375,10141.406,10292.729,58994433015
2025-01-27,8237,10299.971,10329.607,10156.066,10156.066,53284741781
2025-02-05,8238,10237.706,10241.369,10124.195,10164.224,58326774483
2025-02-06,8239,10142.85,10393.634,10135.153,10393.634,71099013431
2025-02-07,8240,10410.035,10666.739,10384.246,10576.003,88720613135
2025-02-10,8241,10608.606,10645.961,10532.119,10631.246,81642797871
2025-02-11,8242,10640.837,10640.837,10524.01,10557.622,77022717337
