date,holders,holders_prev,holders_chg,holders_chg_pct,avg_mktcap,avg_shares,total_mktcap,total_shares
2026-01-20,75733,69001,6732,9.756380342314,368956.813221185,49791.7426749237,27942206335.68,3770878048.0
2026-01-30,76590,75733,857,1.131607093341,430310.40787988,49234.6004439222,32957474139.52,3770878048.0
2026-02-27,112503,76590,35913,46.889933411673,472268.932351315,33518.0221682977,53131671696.32,3770878048.0
2026-03-10,127697,112503,15194,13.505417633308,383593.239023,29529.8875306389,48983705843.52,3770878048.0
2026-03-20,100751,127697,-26946,-21.101513739555,409833.298186619,37427.6984645314,41291114625.6,3770878048.0
2026-03-31,105026,100751,4275,4.243134063185,404999.756074115,35904.2336945137,42535504381.44,3770878048.0
2026-04-10,121570,105026,16544,15.752289909165,396412.120205972,31018.1627704203,48191821453.44,3770878048.0
2026-04-20,105570,121570,-16000,-13.161141729045,495425.580427773,35719.2199299043,52302078525.76,3770878048.0
2026-04-30,127036,105570,21466,20.333428057213,477311.305549923,29683.5389023584,60635719011.84,3770878048.0
2026-05-08,120624,127036,-6412,-5.047388141944,581462.492479109,31261.4243268338,70138331692.8,3770878048.0
2026-05-20,122593,120624,1969,1.632345138613,577660.141618526,30759.3259647778,70817089741.44,3770878048.0
2026-06-10,142266,122593,19673,16.047408905892,668211.910014199,26505.827449988,95063835590.08,3770878048.0
2026-06-30,211628,142266,69362,48.755148805758,831585.9834245,17818.4269000321,175986878500.16,3770878048.0
2026-07-10,207178,211628,-4450,-2.102746328463,687457.470739944,18201.1509330141,142426063872.96,3770878048.0
2026-07-20,166514,207178,-40664,-19.627566633523,604648.521335143,22646.0120350241,100682443881.6,3770878048.0
2026-07-31,262051,166514,95537,57.374755275833,460331.724570866,14389.8632250974,120630388755.52,3770878048.0
2026-08-10,260389,262051,-1662,-0.634227688503,552042.794395155,14481.710241216,143745871189.76,3770878048.0
2026-08-20,253939,260389,-6450,-2.47706316319,482461.645432643,14849.5427957108,122515827779.52,3770878048.0
2026-08-31,260346,253939,6407,2.523046873462,449007.165418328,14484.1021102686,116897219488.0,3770878048.0
