date,inst_participation
2026-07-13,39.129760000000005
2026-07-14,42.67596
2026-07-15,37.67224
2026-07-16,37.398160000000004
2026-07-17,35.77964
2026-07-20,38.48496
2026-07-21,37.4388
2026-07-22,35.59912
2026-07-23,32.18132
2026-07-24,29.159000000000002
2026-07-27,44.8298
2026-07-28,37.46864
2026-07-29,42.56936
2026-07-30,43.94748
2026-07-31,41.19484
2026-08-03,38.493159999999996
2026-08-04,41.74396
2026-08-05,42.92248
2026-08-06,41.94856
2026-08-07,43.9844
2026-08-10,40.44324
2026-08-11,41.09836
2026-08-12,37.85964
2026-08-13,36.69228
2026-08-14,38.5364
2026-08-17,39.77024
2026-08-18,36.73288
2026-08-19,33.03804
2026-08-20,33.62236
2026-08-21,34.56348
2026-08-24,33.07376
2026-08-25,32.689040000000006
2026-08-26,31.101640000000003
2026-08-27,37.78196
2026-08-28,35.774119999999996
2026-08-31,38.001439999999995
2026-09-01,32.24008
2026-09-02,35.02732
2026-09-03,30.7812
2026-09-04,29.96896
2026-09-07,34.60268
2026-09-08,32.50988
2026-09-09,36.7862
2026-09-10,41.43728
2026-09-11,38.07564
