date,seq,n_holders,unlock_shares,实际解禁数量,未解禁数量,实际解禁数量市值,占总市值比例,占流通市值比例,解禁前一交易日收盘价,type,解禁前20日涨跌幅,解禁后20日涨跌幅
2024-06-26,3,1,36831469.0,36831469.0,3188020900.9999995,127805197.43,0.009767345571,0.063191245384,3.47,首发机构配售股份,-17.63285024,-5.29212737
2024-12-26,2,10,821535776.0,821535776.0,2366485125.0,3212204884.16,0.217863257719,0.584975730471,3.91,"首发原股东限售股份,首发战略配售股份",-4.0,-15.36458333
2026-12-28,1,2,2366485125.0,2366485125.0,0.0,72627428486.25,0.627568724015,1.68505913569,30.69,首发原股东限售股份,,
