date,open,high,low,close,volume,amount,turnover
2024-06-03,4.14,4.15,4.01,4.04,23647190.0,96122544.0,0.043307835057530025
2024-06-04,4.02,4.11,4.01,4.09,17549660.0,71212317.0,0.032140722876406555
2024-06-05,4.08,4.08,4.01,4.01,16054200.0,64858151.0,0.029401913951746423
2024-06-06,4.02,4.04,3.8,3.8,32086875.0,124542516.0,0.05876440668052245
2024-06-07,3.84,3.88,3.82,3.85,15918822.0,61246675.0,0.02915398055693637
2024-06-11,3.85,3.87,3.8,3.86,14364089.0,55113554.0,0.02630661812941332
2024-06-12,3.85,3.89,3.84,3.87,13669316.0,52896491.0,0.025034199948376787
2024-06-13,3.87,3.93,3.87,3.93,19222575.0,75092885.0,0.035204525674340174
2024-06-14,3.98,4.13,3.93,4.04,40991630.0,165664737.0,0.0750727148037166
2024-06-17,3.97,3.99,3.94,3.95,21084175.0,83535205.0,0.03861388914387283
2024-06-18,3.94,3.98,3.93,3.96,15421682.0,61028087.0,0.028243510555194074
2024-06-19,3.95,3.95,3.84,3.84,21330131.0,82645046.0,0.039064336824100786
2024-06-20,3.83,3.86,3.72,3.72,20857650.0,78688504.0,0.03819902770213675
2024-06-21,3.7,3.78,3.7,3.73,12066719.0,45194878.0,0.022099178639726904
2024-06-24,3.73,3.73,3.49,3.52,27344693.0,97309455.0,0.05007950010731913
2024-06-25,3.51,3.55,3.41,3.41,21197302.0,73378295.0,0.03882107170791334
2024-06-26,3.33,3.49,3.24,3.47,46794437.0,158059703.0,0.08028457271366357
2024-06-27,3.44,3.46,3.34,3.35,27558257.0,93577851.0,0.0472813229482455
2024-06-28,3.34,3.4,3.31,3.33,20742737.0,69827596.0,0.03558802891371254
2024-07-01,3.35,3.41,3.29,3.41,21631081.0,72455025.0,0.037112148510722476
2024-07-02,3.45,3.5,3.37,3.48,27894563.0,95221746.0,0.047858318532379596
2024-07-03,3.43,3.54,3.39,3.46,33916378.0,117186757.0,0.058189863802081854
2024-07-04,3.4,3.53,3.38,3.39,34270254.0,118181407.0,0.058797003993844826
2024-07-05,3.33,3.42,3.26,3.4,23385700.0,78575569.0,0.040122524224619316
2024-07-08,3.4,3.41,3.25,3.27,19396372.0,64472098.0,0.03327808897915084
2024-07-09,3.26,3.3,3.16,3.28,24152211.0,78119703.0,0.04143761661723263
2024-07-10,3.26,3.3,3.23,3.23,13580403.0,44296126.0,0.023299710863801074
2024-07-11,3.3,3.39,3.29,3.36,26798313.0,89644282.0,0.04597749746731681
2024-07-12,3.35,3.38,3.33,3.34,12712692.0,42626495.0,0.021810991021441486
2024-07-15,3.33,3.35,3.31,3.32,12088459.0,40206221.0,0.020740003038857823
2024-07-16,3.32,3.32,3.27,3.28,12033753.0,39611403.0,0.020646144706191617
2024-07-17,3.31,3.33,3.27,3.27,11516827.0,37561316.0,0.019759261869358186
2024-07-18,3.26,3.29,3.2,3.28,15071319.0,48523313.0,0.02585765496326667
2024-07-19,3.28,3.33,3.26,3.3,12096288.0,39502536.0,0.020753435146605485
2024-07-22,3.32,3.34,3.29,3.31,11528853.0,37822742.0,0.019779894712348787
2024-07-23,3.31,3.34,3.22,3.23,16666633.0,54159401.0,0.028594713277145422
2024-07-24,3.21,3.25,3.15,3.18,16576545.0,52539209.0,0.02844015053314599
2024-07-25,3.16,3.24,3.15,3.21,13211107.0,41935115.0,0.022666114789873203
2024-07-26,3.21,3.26,3.21,3.25,12239026.0,39344431.0,0.0209983287723158
2024-07-29,3.25,3.26,3.21,3.25,11608664.0,37219810.0,0.01991682534863041
2024-07-30,3.24,3.29,3.22,3.29,12296753.0,39768680.0,0.02109737019318046
2024-07-31,3.27,3.41,3.27,3.4,22865889.0,76073828.0,0.039230691632919104
2024-08-01,3.39,3.41,3.36,3.38,14596689.0,48934250.0,0.02504333879258411
2024-08-02,3.36,3.41,3.34,3.34,13677687.0,45742413.0,0.023466619686144125
2024-08-05,3.33,3.4,3.28,3.29,18694275.0,61955954.0,0.03207351080143828
2024-08-06,3.31,3.35,3.3,3.34,13712065.0,45185425.0,0.02352560154846999
2024-08-07,3.35,3.35,3.3,3.31,10349663.0,34054615.0,0.017756774628689593
2024-08-08,3.3,3.33,3.26,3.32,12962958.0,42386131.0,0.022240368959566006
