date,index,open,high,low,close,volume,amount,outstanding_share,turnover
2024-06-03,1566,67.86,73.42,67.86,70.79,8035936.0,758425042.0,510834539.0,0.01573099582446206
2024-06-04,1567,70.3,71.43,69.49,70.81,4701505.0,439920267.0,510834539.0,0.00920357697269957
2024-06-05,1568,70.73,72.07,70.37,70.46,4227773.0,399080423.0,510834539.0,0.008276208198991808
2024-06-06,1569,71.21,74.12,70.82,72.66,8822522.0,851311829.0,510834539.0,0.01727080165188282
2024-06-07,1570,72.15,73.28,70.02,70.74,6187468.0,585772878.0,510834539.0,0.012112469944010579
2024-06-11,1571,70.77,72.3,69.9,71.98,4891921.0,464050754.0,510834539.0,0.00957633172098412
2024-06-12,1572,71.78,75.3,71.53,72.9,6307055.0,615682514.0,510834539.0,0.012346571185939329
2024-06-13,1573,72.91,79.1,72.91,77.56,11124163.0,1129540822.0,510834539.0,0.02177645039776764
2024-06-14,1574,77.65,82.13,76.24,80.82,10133479.0,1070483680.0,510834539.0,0.019837106198490623
2024-06-17,1575,80.67,84.57,79.77,82.84,8327027.0,907096386.0,510834539.0,0.016300830042347628
2024-06-18,1576,81.8,83.64,80.35,81.81,6393272.0,692896922.0,510834539.0,0.012515347949093944
2024-06-19,1577,82.17,82.55,80.09,80.93,4840181.0,520084938.0,510834539.0,0.009475046478797315
2024-06-20,1578,79.92,81.73,79.92,80.29,3350886.0,359367844.0,510834539.0,0.006559630847514012
2024-06-21,1579,79.01,81.88,78.41,80.97,3713056.0,395375432.0,510834539.0,0.007268607967011408
2024-06-24,1580,80.3,84.53,79.84,80.14,7233242.0,788489843.0,510834539.0,0.01415965728190513
2024-06-25,1581,79.54,80.3,78.15,78.97,5987763.0,628054067.0,510834539.0,0.011721531225593185
2024-06-26,1582,79.92,80.68,77.83,80.31,5734311.0,604305619.0,510834539.0,0.011225378399873623
2024-06-27,1583,79.65,80.14,77.71,77.87,4888164.0,510460810.0,510834539.0,0.009568977089076586
2024-06-28,1584,77.39,81.35,77.39,79.74,6332547.0,675322544.0,510834539.0,0.012396473841405622
2024-07-01,1585,79.6,80.29,77.54,80.04,3753195.0,393536253.0,510812039.0,0.007347506936891126
2024-07-02,1586,79.76,79.76,77.67,78.37,3175587.0,330418123.0,510812039.0,0.006216742671564168
2024-07-03,1587,78.03,78.92,76.15,77.61,3813833.0,390718809.0,510812039.0,0.007466215963637458
2024-07-04,1588,78.11,80.41,77.72,79.2,4701729.0,495298827.0,510812039.0,0.009204420884841361
2024-07-05,1589,78.79,79.96,76.94,79.49,4085587.0,425149326.0,510812039.0,0.007998219869676956
2024-07-08,1590,79.16,80.66,78.82,79.28,3479416.0,368301406.0,510812039.0,0.006811538754669015
2024-07-09,1591,79.28,82.74,78.63,82.74,7186422.0,775327354.0,510812039.0,0.014068622998918786
2024-07-10,1592,86.7,91.02,86.62,91.02,15259468.0,1828378008.0,510812039.0,0.02987296076629862
2024-07-11,1593,91.22,95.85,90.55,95.74,15933781.0,1979009132.0,510812039.0,0.031193041243101946
2024-07-12,1594,92.73,96.34,91.29,95.1,9041463.0,1127727512.0,510812039.0,0.01770017601327521
2024-07-15,1595,95.1,96.84,94.36,96.05,5065464.0,642789388.0,510812039.0,0.009916492982265048
2024-07-16,1596,95.97,98.48,95.04,98.39,6882711.0,884753556.0,510812039.0,0.01347405792054952
2024-07-17,1597,97.24,97.87,93.11,93.18,8531690.0,1073904109.0,510812039.0,0.01670221010589768
2024-07-18,1598,92.09,93.78,89.72,92.48,6431854.0,782370499.0,510812039.0,0.012591429936912665
2024-07-19,1599,92.47,93.64,90.54,90.92,4646163.0,565869079.0,510812039.0,0.009095641146390443
2024-07-22,1600,90.98,91.38,88.99,90.22,5095144.0,609026340.0,510812039.0,0.009974596546265034
2024-07-23,1601,90.54,91.3,86.32,86.44,5690227.0,664303793.0,510812039.0,0.01113957104679751
2024-07-24,1602,86.7,87.79,84.09,84.48,5771106.0,655241808.0,510812039.0,0.011297905216364722
2024-07-25,1603,82.93,84.58,81.96,83.11,4655219.0,513001548.0,510812039.0,0.009113369781012542
2024-07-26,1604,83.38,84.41,82.03,83.48,4022583.0,443969778.0,510812039.0,0.00787487900221553
2024-07-29,1605,83.54,85.57,82.18,84.0,5095754.0,568814268.0,510812039.0,0.009975790723287945
2024-07-30,1606,83.01,83.68,82.07,83.0,3188043.0,350070955.0,510812039.0,0.006241127374838556
2024-07-31,1607,82.4,83.99,80.38,83.44,6832229.0,750967147.0,510812039.0,0.013375230962401025
2024-08-01,1608,86.08,89.49,85.1,88.18,13290626.0,1541264070.0,510812039.0,0.026018623261148316
2024-08-02,1609,83.69,85.83,82.03,83.69,8745865.0,974881874.0,510812039.0,0.017121493489310653
2024-08-05,1610,79.7,82.27,78.45,78.45,9310049.0,988090504.0,510812039.0,0.018225978029464573
2024-08-06,1611,81.16,81.5,77.77,79.0,6082341.0,635502240.0,510812039.0,0.011907199783128056
2024-08-07,1612,78.58,79.03,76.41,77.21,6003161.0,617231943.0,510812039.0,0.011752191690219736
2024-08-08,1613,76.04,77.17,75.24,75.96,4628680.0,467250127.0,510812039.0,0.00906141524984692
2024-08-09,1614,77.13,78.3,76.47,77.31,5509187.0,566322442.0,510812039.0,0.010785154967735598
2024-08-12,1615,77.35,80.11,76.91,79.0,5557118.0,582052214.0,510812039.0,0.010878987916727624
2024-08-13,1616,79.01,82.6,79.0,81.77,7077485.0,765048054.0,510812039.0,0.013855360601632179
2024-08-14,1617,82.83,84.06,81.33,81.57,5385089.0,589675809.0,510812039.0,0.010542212377261532
2024-08-15,1618,81.05,82.82,78.69,79.82,5620869.0,598318195.0,510812039.0,0.011003791161625304
