date,index,open,high,low,close,volume,amount,outstanding_share,turnover
2024-06-03,2913,59.02,60.97,58.84,60.06,12566213.0,757938017.0,419590599.0,0.029948747731595386
2024-06-04,2914,59.38,59.86,58.63,59.43,6436026.0,381355198.0,419590599.0,0.01533882316557812
2024-06-05,2915,59.22,60.48,59.07,59.18,6303726.0,379090377.0,419590599.0,0.015023515815233982
2024-06-06,2916,59.84,60.48,58.16,58.3,7248313.0,431221839.0,419590599.0,0.017274726882048185
2024-06-07,2917,58.45,59.45,57.42,57.65,5281231.0,308351539.0,419590599.0,0.012586628519768146
2024-06-11,2918,57.85,60.14,57.77,59.95,8964555.0,533588560.0,419590599.0,0.021365004414696145
2024-06-12,2919,59.75,60.31,59.35,59.71,7049864.0,422645190.0,419590599.0,0.016801768239807488
2024-06-13,2920,60.83,61.2,59.87,59.92,10932757.0,664328580.0,419590599.0,0.026055772045550527
2024-06-14,2921,59.26,61.19,58.92,60.61,11865993.0,716448773.0,419590599.0,0.028279930552018873
2024-06-17,2922,60.24,61.44,60.14,60.77,9843363.0,601062253.0,419590599.0,0.02345944600155353
2024-06-18,2923,60.71,61.21,59.75,60.27,7954472.0,482126778.0,419590599.0,0.01895769833489525
2024-06-19,2924,60.94,61.33,59.0,59.82,8213216.0,493666327.0,419590599.0,0.019574356574180538
2024-06-20,2925,59.44,60.64,58.35,58.47,9443442.0,564244990.0,419590599.0,0.022506324075196926
2024-06-21,2926,57.35,58.91,56.45,58.66,6285805.0,365157764.0,419590599.0,0.014980805134769
2024-06-24,2927,58.65,59.39,56.53,56.6,6726713.0,391043538.0,419590599.0,0.01603161037456895
2024-06-25,2928,56.6,56.79,52.85,53.55,9799480.0,534055286.0,419590599.0,0.023354860722225094
2024-06-26,2929,52.86,55.19,52.74,54.84,8794865.0,476474844.0,419590599.0,0.020960586392928218
2024-06-27,2930,54.39,57.43,54.24,55.04,8262762.0,463267403.0,419590599.0,0.01969243834273799
2024-06-28,2931,54.61,56.04,54.51,55.3,5989303.0,332558249.0,419590599.0,0.014274159178671208
2024-07-01,2932,54.95,55.61,53.45,55.37,4717300.0,257968612.0,419590599.0,0.011242625576556352
2024-07-02,2933,55.28,55.4,53.87,54.02,3606680.0,197464221.0,419590599.0,0.008595712126524551
2024-07-03,2934,53.93,55.26,53.4,54.46,4128681.0,225164601.0,419590599.0,0.00983978432748442
2024-07-04,2935,54.47,54.84,53.36,53.43,4234280.0,229372010.0,419590599.0,0.010091455838361145
2024-07-05,2936,53.27,53.89,52.52,53.49,3237172.0,172549534.0,419590599.0,0.007715072758338897
2024-07-08,2937,53.73,54.43,52.6,52.75,4271260.0,229618141.0,419590599.0,0.010179589366824685
2024-07-09,2938,52.52,55.25,52.24,55.13,8694290.0,472157928.0,419590599.0,0.020720888458227827
2024-07-10,2939,54.53,55.7,54.4,55.28,5263060.0,291734525.0,419590599.0,0.012543322020424961
2024-07-11,2940,56.15,56.61,55.45,55.72,7260158.0,407172964.0,419590599.0,0.017302956780497362
2024-07-12,2941,55.16,55.88,54.62,55.61,4709659.0,260645778.0,419590599.0,0.011224414968363006
2024-07-15,2942,55.64,56.45,55.31,55.45,4289342.0,240154618.0,419590599.0,0.01022268375464723
2024-07-16,2943,55.37,56.99,54.92,56.82,6732131.0,378937353.0,419590599.0,0.01604452296129733
2024-07-17,2944,56.59,57.24,56.25,56.37,5649477.0,321564696.0,419590599.0,0.01346426019425664
2024-07-18,2945,55.63,56.73,54.39,56.28,6410184.0,357278115.0,419590599.0,0.015277234559776207
2024-07-19,2946,55.91,62.1,55.75,59.95,18000227.0,1074322938.0,419590599.0,0.042899500234036464
2024-07-22,2947,59.84,60.61,59.18,59.93,9295422.0,558282135.0,419590599.0,0.02215355163379149
2024-07-23,2948,59.84,59.84,56.9,56.92,8258674.0,481921449.0,419590599.0,0.01968269551244164
2024-07-24,2949,56.3,57.64,55.74,55.93,6856574.0,389591589.0,419590599.0,0.016341104915937356
2024-07-25,2950,55.47,55.79,54.53,54.94,6448802.0,355723726.0,419590599.0,0.015369271893529721
2024-07-26,2951,54.64,55.57,54.12,54.64,5632774.0,309455287.0,419590599.0,0.013424452343366254
2024-07-29,2952,54.66,54.78,53.58,53.58,4720048.0,255463892.0,419590599.0,0.01124917481766554
2024-07-30,2953,53.36,54.23,52.64,54.12,4689905.0,252004317.0,419590599.0,0.01117733574388305
2024-07-31,2954,53.92,55.74,53.67,55.7,6413074.0,354482632.0,419590599.0,0.015284122226008215
2024-08-01,2955,55.84,57.35,55.24,56.45,8128305.0,458863869.0,419590599.0,0.01937199026711273
2024-08-02,2956,55.86,56.44,54.54,54.84,5942348.0,330663764.0,419590599.0,0.014162252476967436
2024-08-05,2957,54.13,55.02,52.37,52.38,6613369.0,353857568.0,419590599.0,0.015761480394845546
2024-08-06,2958,53.36,53.46,51.78,52.66,5449785.0,286215324.0,419590599.0,0.012988339140553529
2024-08-07,2959,52.57,52.84,50.47,51.1,5364567.0,278395565.0,419590599.0,0.012785241167903288
2024-08-08,2960,50.52,51.56,49.75,50.13,6062981.0,306909493.0,419590599.0,0.014449754151903676
2024-08-09,2961,50.71,51.27,50.47,50.47,4910258.0,250109270.0,419590599.0,0.011702497652956233
2024-08-12,2962,49.45,49.9,47.92,48.21,7057096.0,344761675.0,419590599.0,0.016819004088316096
2024-08-13,2963,48.28,48.86,47.97,48.47,3505803.0,170085605.0,419590599.0,0.008355294442619293
2024-08-14,2964,48.48,48.85,47.97,48.12,4218380.0,204230380.0,419590599.0,0.010053561757707542
2024-08-15,2965,48.07,49.07,47.57,48.57,4277470.0,208199213.0,419590599.0,0.010194389507759204
2024-08-16,2966,48.87,48.97,48.09,48.1,3037000.0,147742950.0,419590599.0,0.007238007732389638
2024-08-19,2967,48.26,48.81,47.89,47.97,2661500.0,129075402.0,419590599.0,0.006343087777331256
2024-08-20,2968,48.05,48.42,46.38,46.57,5178621.0,244408219.0,419590599.0,0.012342080619399197
2024-08-21,2969,46.25,46.68,45.08,45.22,7914048.0,361924410.0,419590599.0,0.018861356805565607
2024-08-22,2970,45.2,45.75,44.83,45.12,5582088.0,253633495.0,419590599.0,0.013303653640724205
2024-08-23,2971,44.92,45.24,44.14,44.26,4824249.0,215272022.0,419590599.0,0.011497514509375363
2024-08-26,2972,44.23,44.66,43.81,44.16,4326039.0,191452701.0,419590599.0,0.010310142816140644
2024-08-27,2973,44.13,44.29,43.39,43.59,4514353.0,198212277.0,419590599.0,0.010758946961059059
2024-08-28,2974,43.39,44.13,43.25,44.0,4374088.0,191761851.0,419590599.0,0.010424656821255426
2024-08-29,2975,43.98,45.77,43.69,45.39,6589572.0,297596447.0,419590599.0,0.01570476558746732
2024-08-30,2976,45.2,46.96,44.89,46.56,6668902.0,310337955.0,419590599.0,0.015893830833898163
2024-09-02,2977,46.11,46.78,44.83,44.83,5360515.0,245267447.0,419590599.0,0.012775584135525401
2024-09-03,2978,44.83,46.35,44.54,45.77,4915506.0,225702138.0,419590599.0,0.011715005082847436
2024-09-04,2979,45.17,46.13,45.17,45.54,3698011.0,169373480.0,419590599.0,0.00881337906238457
2024-09-05,2980,45.44,46.34,45.44,46.05,4478900.0,206465389.0,419590599.0,0.010674452694303572
2024-09-06,2981,46.05,46.17,45.02,45.14,3066259.0,139549076.0,419590599.0,0.007307739990618808
2024-09-09,2982,44.76,45.44,44.58,44.89,2764706.0,124533773.0,419590599.0,0.006589056109905837
2024-09-10,2983,44.88,45.53,44.08,45.16,3040501.0,136455197.0,419590599.0,0.00724635157995997
2024-09-11,2984,45.02,45.41,44.78,45.3,2223400.0,100728125.0,419590599.0,0.005298974775171262
2024-09-12,2985,45.52,46.03,44.59,44.6,2750156.0,124760085.0,419590599.0,0.00655437945119452
2024-09-13,2986,44.68,44.88,43.89,43.89,2619139.0,116460756.0,419590599.0,0.006242129843333311
2024-09-18,2987,44.57,44.57,43.12,43.49,2678397.0,116963191.0,419590599.0,0.006383357983671126
