date,index,open,high,low,close,volume,amount,outstanding_share,turnover
2024-06-03,3522,32.72,33.78,32.52,33.34,32142670.0,1081722130.0,756078176.0,0.0425123631660015
2024-06-04,3523,32.99,33.37,32.5,33.09,21821204.0,725287257.0,756078176.0,0.028861042009497177
2024-06-05,3524,33.04,33.09,31.93,31.94,21214858.0,697590900.0,756078176.0,0.02805907996476809
2024-06-06,3525,32.4,33.58,32.35,32.48,36845536.0,1228368790.0,756078176.0,0.0487324421859784
2024-06-07,3526,32.5,32.76,31.17,31.5,27379364.0,876774045.0,756078176.0,0.03621234532234402
2024-06-11,3527,31.28,32.07,30.99,32.0,19014948.0,610708675.0,756078176.0,0.025149446979937692
2024-06-12,3528,31.88,32.7,31.78,32.38,15955499.0,521840316.0,756078176.0,0.021102975203453035
2024-06-13,3529,32.3,33.25,32.3,32.54,21252865.0,704273254.0,756078176.0,0.02810934857614512
2024-06-14,3530,32.35,34.87,32.3,34.38,57184912.0,1968877859.0,756078176.0,0.07563359691524808
2024-06-17,3531,34.24,34.75,33.84,34.26,31610299.0,1095179135.0,756078176.0,0.04180824153294963
2024-06-18,3532,34.13,35.71,34.08,35.25,41156483.0,1467144097.0,756078176.0,0.0544341634323274
2024-06-19,3533,35.51,35.74,34.67,34.69,23463506.0,831417482.0,756078176.0,0.031033174537761027
2024-06-20,3534,34.69,35.21,33.79,33.91,21227833.0,737369187.0,756078176.0,0.028076240888614143
2024-06-21,3535,33.39,37.3,32.57,36.27,56130174.0,2040352185.0,756078176.0,0.07423858508514866
2024-06-24,3536,35.68,38.36,35.67,36.32,65298927.0,2461189299.0,756078176.0,0.08636531125056571
2024-06-25,3537,36.06,37.6,35.39,36.99,53821751.0,1990199847.0,756078176.0,0.07118543122715396
2024-06-26,3538,37.2,37.64,36.22,37.12,41366526.0,1549394792.0,756078176.0,0.054711969361221184
2024-06-27,3539,36.7,37.92,36.05,36.44,34065297.0,1274265743.0,756078176.0,0.045055257619286186
2024-06-28,3540,36.35,38.13,36.27,36.92,39872954.0,1513574043.0,756078176.0,0.05273654929566437
2024-07-01,3541,37.11,38.63,36.73,37.93,44602391.0,1706394192.0,756065696.0,0.05899274525477215
2024-07-02,3542,37.51,37.54,36.39,36.56,31779489.0,1184858996.0,756065696.0,0.04203270849098277
2024-07-03,3543,36.31,36.97,35.84,35.93,21366078.0,785343837.0,756065696.0,0.028259552196374216
2024-07-04,3544,36.18,36.53,35.49,35.53,20976063.0,762416465.0,756065696.0,0.02774370416615225
2024-07-05,3545,35.62,37.04,35.29,36.91,30541825.0,1121786236.0,756065696.0,0.04039572905050833
2024-07-08,3546,36.95,37.18,36.28,36.51,23273996.0,865076214.0,756065696.0,0.030783033965344726
2024-07-09,3547,36.63,38.23,35.86,38.02,35509288.0,1347105309.0,756065696.0,0.04696587636215147
2024-07-10,3548,37.79,38.5,37.43,37.57,29913733.0,1143966972.0,756065696.0,0.03956499171733351
2024-07-11,3549,37.94,38.11,36.28,37.49,32802527.0,1236939672.0,756065696.0,0.04338581577440064
2024-07-12,3550,36.69,36.92,36.21,36.45,19283919.0,709633003.0,756065696.0,0.025505612940809844
2024-07-15,3551,36.19,36.63,35.15,35.79,21187629.0,765970514.0,756065696.0,0.028023529055866594
2024-07-16,3552,35.51,36.25,34.1,35.99,38305321.0,1357224747.0,756065696.0,0.05066401134538446
2024-07-17,3553,35.79,37.36,35.67,35.68,34642430.0,1270391621.0,756065696.0,0.045819338429553616
2024-07-18,3554,34.8,35.49,33.3,34.48,33435624.0,1150652299.0,756065696.0,0.04422317290268914
2024-07-19,3555,34.1,34.86,33.98,34.39,21838829.0,757388771.0,756065696.0,0.028884829870657165
2024-07-22,3556,34.6,36.31,34.54,35.04,25516526.0,908950261.0,756065696.0,0.0337490857408243
2024-07-23,3557,35.19,35.35,33.7,33.7,19010700.0,656952419.0,756065696.0,0.02514424354996791
2024-07-24,3558,33.59,34.73,33.3,33.4,18475962.0,631088058.0,756065696.0,0.024436979614004338
2024-07-25,3559,32.98,33.21,32.23,32.41,18564090.0,608676290.0,756065696.0,0.024553540913460514
2024-07-26,3560,32.43,32.95,32.03,32.63,16157512.0,528835009.0,756065696.0,0.021370513284073134
2024-07-29,3561,32.63,33.38,32.33,32.89,16072499.0,533021307.0,756065696.0,0.021258071996960434
2024-07-30,3562,32.74,32.99,32.05,32.55,14272815.0,466544175.0,756065696.0,0.018877744454630037
2024-07-31,3563,32.31,33.75,32.31,33.7,23113306.0,770981836.0,756065696.0,0.03057049952442228
2024-08-01,3564,34.19,34.39,33.24,33.3,20078999.0,678772083.0,756065696.0,0.02655721467886833
2024-08-02,3565,32.63,33.01,31.72,31.82,20960092.0,681462601.0,756065696.0,0.027722580340425868
2024-08-05,3566,31.12,31.59,29.36,29.37,32059168.0,977068554.0,756065696.0,0.04240262211288052
2024-08-06,3567,29.93,30.64,29.58,30.01,18920793.0,570652253.0,756065696.0,0.02502532928038042
2024-08-07,3568,29.88,30.8,29.65,30.21,17654196.0,540308335.0,756065696.0,0.023350082001339735
2024-08-08,3569,29.98,30.3,29.43,29.53,15654729.0,468125601.0,756065696.0,0.020705514193835345
2024-08-09,3570,30.03,30.24,29.48,29.48,13250855.0,396837065.0,756065696.0,0.017526062973236653
2024-08-12,3571,29.36,29.71,29.04,29.39,10521783.0,310684242.0,756065696.0,0.013916493045069988
2024-08-13,3572,29.59,29.91,29.31,29.64,10656233.0,316636583.0,756065696.0,0.014094321507214633
2024-08-14,3573,30.0,30.1,29.36,29.36,11157701.0,332257731.0,756065696.0,0.01475758133060437
2024-08-15,3574,29.08,29.9,29.08,29.51,13270100.0,394644987.0,756065696.0,0.017551517110491945
2024-08-16,3575,29.73,30.52,29.64,29.89,23575138.0,714184100.0,756065696.0,0.031181335332002683
