date,index,open,high,low,close,volume,amount,outstanding_share,turnover
2024-06-03,3969,22.82,23.61,22.6,23.42,139006047.0,3237756849.0,1516659209.0,0.09165278935117718
2024-06-04,3970,23.13,23.27,22.43,22.94,120777323.0,2766169181.0,1516659209.0,0.07963379135094811
2024-06-05,3971,22.82,23.45,22.61,22.62,107946618.0,2496742562.0,1516659209.0,0.07117394425816591
2024-06-06,3972,23.2,24.17,22.71,23.5,194546344.0,4569100072.0,1516659209.0,0.12827294546167226
2024-06-07,3973,23.22,24.57,23.15,24.19,182629278.0,4387033470.0,1516659209.0,0.1204155006716476
2024-06-11,3974,23.97,24.74,23.92,24.12,186218214.0,4537481695.0,1516659209.0,0.12278184373586591
2024-06-12,3975,23.85,24.36,23.6,24.3,152803346.0,3674909286.0,1516659209.0,0.10074995430301706
2024-06-13,3976,24.21,24.48,23.42,23.42,149578710.0,3604699339.0,1516659209.0,0.09862381022208926
2024-06-14,3977,23.05,23.32,22.69,23.14,117598280.0,2713481225.0,1516659209.0,0.07753770873651815
2024-06-17,3978,23.12,24.24,22.9,23.87,136834518.0,3242999367.0,1516659209.0,0.09022100494825136
2024-06-18,3979,24.01,24.07,23.62,23.84,101653722.0,2431358407.0,1517430772.0,0.06699068179961755
2024-06-19,3980,23.84,24.92,23.27,24.69,192469982.0,4666189797.0,1517430772.0,0.12683938242950038
2024-06-20,3981,24.23,24.78,23.96,24.0,130674760.0,3196791285.0,1517430772.0,0.08611579678707082
2024-06-21,3982,23.42,23.99,23.42,23.71,75213946.0,1792259632.0,1517430772.0,0.04956664079038461
2024-06-24,3983,23.58,24.2,22.43,22.76,108749351.0,2570199952.0,1517430772.0,0.07166676266665298
2024-06-25,3984,22.77,22.98,21.73,21.88,113458656.0,2524940217.0,1517430772.0,0.07477023538310056
2024-06-26,3985,21.99,22.64,21.61,22.49,85417209.0,1893798929.0,1517430772.0,0.05629067933518881
2024-06-27,3986,22.18,22.77,21.97,22.0,78078392.0,1749530525.0,1517430772.0,0.051454335473302235
