date,index,open,high,low,close,volume,amount,outstanding_share,turnover
2024-06-03,2244,44.58,47.43,44.58,45.77,29996217.0,2747560943.0,503272063.0,0.059602388460016704
2024-06-04,2245,45.72,46.33,45.24,45.82,18190492.0,1660938007.0,503272063.0,0.03614445016392654
2024-06-05,2246,45.63,46.28,44.96,45.13,12077085.0,1094236830.0,503272063.0,0.023997129759217334
2024-06-06,2247,45.98,48.48,45.67,45.85,31347933.0,2920334512.0,503272063.0,0.062288243883706296
2024-06-07,2248,45.43,45.73,43.37,43.63,23687006.0,2084256700.0,503272063.0,0.04706600612559732
2024-06-11,2249,43.62,44.87,43.62,44.58,14876729.0,1307383234.0,503272063.0,0.02956001354678811
2024-06-12,2250,44.31,45.11,43.89,44.16,11998197.0,1059075427.0,503272063.0,0.023840379552321784
2024-06-13,2251,44.62,46.03,43.91,45.02,20361353.0,1828917766.0,503272063.0,0.04045794411600391
2024-06-14,2252,45.14,50.81,44.77,49.25,47135669.0,4545264433.0,503272063.0,0.09365842546280977
2024-06-17,2253,49.43,50.19,48.13,48.68,26877932.0,2627271523.0,503272063.0,0.053406366011617856
2024-06-18,2254,48.69,52.01,48.49,49.92,27463379.0,2759584711.0,503272063.0,0.05456964735195325
2024-06-19,2255,50.79,52.68,49.92,51.16,29285075.0,2996485554.0,503272063.0,0.05818935155158811
2024-06-20,2256,50.75,52.76,50.41,51.54,23247303.0,2400316870.0,503272063.0,0.04619231765304644
2024-06-21,2257,50.06,51.4,49.25,50.4,19022988.0,1899847208.0,503272063.0,0.0377986170871559
2024-06-24,2258,49.75,50.59,47.86,48.17,19476346.0,1899612672.0,503272063.0,0.03869943800158842
2024-06-25,2259,46.23,46.72,44.28,44.75,25442900.0,2289626261.0,503272063.0,0.050554961959015
2024-06-26,2260,45.75,46.15,43.72,44.81,21223780.0,1890894419.0,503272063.0,0.04217158384172022
2024-06-27,2261,43.99,44.21,42.15,42.31,22002105.0,1881134889.0,503272063.0,0.043718113159005215
2024-06-28,2262,42.28,45.69,42.26,44.43,25802641.0,2292348841.0,503272063.0,0.0512697661900617
2024-07-01,2263,44.66,49.08,44.29,48.15,27722480.0,2600953089.0,552743987.0,0.05015428598411872
2024-07-02,2264,47.64,48.28,47.02,47.42,18109369.0,1712283836.0,552743987.0,0.032762670288442236
2024-07-03,2265,47.03,47.03,44.48,44.93,20587611.0,1857448237.0,552743987.0,0.03724619622139824
2024-07-04,2266,45.47,45.8,43.77,43.89,17483946.0,1554469634.0,552743987.0,0.03163118262921963
2024-07-05,2267,44.16,44.41,42.92,43.82,15971749.0,1387952843.0,552743987.0,0.028895382628558564
2024-07-08,2268,43.84,45.84,43.65,45.27,21105504.0,1890847105.0,552743987.0,0.03818314535550072
2024-07-09,2269,44.72,47.66,43.87,47.18,26043152.0,2386842669.0,552743987.0,0.047116119962423035
2024-07-10,2270,47.25,50.75,47.03,50.25,31426291.0,3083876641.0,552743987.0,0.056855057203905865
2024-07-11,2271,50.25,50.7,47.99,49.95,25166587.0,2478488403.0,552743987.0,0.04553027729273154
2024-07-12,2272,48.73,48.73,47.46,47.73,18295331.0,1746221886.0,552743987.0,0.03309910452268746
2024-07-15,2273,47.23,47.23,46.0,46.88,15301825.0,1419285943.0,552743987.0,0.027683385726274757
2024-07-16,2274,46.98,47.33,45.73,46.95,17089722.0,1581262800.0,552743987.0,0.030917969985985574
2024-07-17,2275,46.28,46.83,44.56,44.6,17527848.0,1581123631.0,552743987.0,0.031710608187945785
2024-07-18,2276,44.72,48.32,44.47,48.31,35273233.0,3258163134.0,552743987.0,0.06381477470509327
2024-07-19,2277,47.74,48.31,45.77,45.83,24150395.0,2241368024.0,552743987.0,0.04369182762362642
2024-07-22,2278,45.28,47.34,45.23,46.57,15738561.0,1454989106.0,552743987.0,0.028473509201647814
2024-07-23,2279,47.53,47.73,45.97,46.02,18065008.0,1685521486.0,552743987.0,0.03268241432719557
2024-07-24,2280,45.24,48.53,45.24,47.07,20608265.0,1942287926.0,552743987.0,0.03728356252566525
2024-07-25,2281,45.99,46.13,43.63,43.76,20057419.0,1773728997.0,552743987.0,0.036286996279888975
2024-07-26,2282,43.82,46.43,43.62,45.8,18115213.0,1629960931.0,552743987.0,0.0327732429950432
2024-07-29,2283,46.73,49.06,45.82,48.19,26165505.0,2479319272.0,552743987.0,0.04733747560423484
2024-07-30,2284,47.68,49.56,46.77,48.62,24811227.0,2388015725.0,552743987.0,0.044887375681212066
2024-07-31,2285,48.44,50.81,47.8,50.27,26149489.0,2577831135.0,552743987.0,0.04730850016465218
2024-08-01,2286,52.56,53.02,50.35,50.53,25517407.0,2624896017.0,552743987.0,0.04616496533683685
2024-08-02,2287,48.64,48.64,45.47,45.73,31795245.0,2965609396.0,552743987.0,0.05752255247961657
2024-08-05,2288,43.22,44.55,42.13,42.24,26872785.0,2311091837.0,552743987.0,0.04861705533125953
2024-08-06,2289,43.94,44.31,42.6,43.18,17676741.0,1523615601.0,552743987.0,0.031979978825169925
2024-08-07,2290,42.71,43.6,42.22,42.36,14699423.0,1254183019.0,552743987.0,0.0265935466431406
2024-08-08,2291,41.21,41.83,40.61,41.28,13894887.0,1140466432.0,552743987.0,0.02513801565787092
2024-08-09,2292,42.21,43.31,42.06,42.07,15482011.0,1311572699.0,552743987.0,0.02800937027651465
2024-08-12,2293,41.7,42.77,41.7,42.06,9251717.0,778053572.0,552743987.0,0.016737797637950604
